Product,Strength and Form
Sodium  Chromate 37 MBq/ml,sol.inj. vial 10 ml x 1
Sodium  Iodide [131 I ],injection 74 MBq/ml; 925  MBq/ml solution for injection
Sofiperla,"0,075 mg/0,030 mg  tablets"
Sofluxen,caps. 20 mg x 28
Sofrel,100 mg film - coated  tablets
Sofrel,150 mg film - coated  tablets
Sofrel,200 mg film - coated  tablets
Sofrel,25 mg film - coated  tablets
Sofrel,300 mg film - coated  tablets
Softacort,"3,35 mg/ml eye drops,  solution in single - dose container"
Solcoderm,cutaneous solution
Solcoeryl,"2,07 mg/g ointment"
Solcogyn,vaginal  solution
Solcoseryl,"gel eye - 8,3 g"
Solcoseryl,"42,5 mg/ml solution for  injection"
SOLCOSERYL,2.07 mg/g ointment
Solcoseryl,"2,125 mg/g + 10 mg/g  oromucosal paste"
Solcoseryl,10% gel
SOLCOSERYL,"8,30 mg/g eye gel"
Solesmin,0.4 mg prol-rel.  capsules
Solian,100 mg tablets
Solian,400 mg film - coated tablets
Solidagoren,"7,9 ml/10 ml oral drops,  solution"
Solifenacin  Accord,10 mg film - coated  tablets
Solifenacin  Accord,5 mg film - coated  tablets
Solifenacin  Medica,10 mg film - coated  tablet
Solifenacin  Medica,5 mg film - coated  tablets
Solifenacin  Sopharma,5 mg film - coated  tablets
Solifenacin  Sopharma,10 mg film - coated  tablets
Solifenacin Sopharma,5 mg film - coated  tablets
Solifenacon,5 mg film - coated  tablets
Solifenax,5 mg film - coated  tablets
Solpadeine,500 mg/8 mg/30 mg  soluble tablets
Solpadeine,500 mg/8 mg/30 mg  capsules
Solu  - Medrol,500 mg powder and  solvent for solution for injection
Solu  - Medrol,1000 mg powder  and solvent for solution for injection
SOLU  - MEDROL,40 powder and solvent  for solution for injection
Solu - Medrol,2000 powder and solvent  for solution for injection
Solu-Medrol,125 mg powder and  solvent for solution for injection
Soluprick  SQ Timothy Grass (Polenum Pratense Pollen),sol. for skin-prick test  10 Hep
Solutio  Iodi Spirituosa 5%,sol. cut. - 50 ml; 1 000  ml
Solutio  Iodi Spirituosa Chemax Pharma,5% cutaneous solution
Solutio  Iodi Spirituosa Galen - Pharma,5% cutaneous solution
Solutio Iodi Spirituosa VT,5 % cutaneous solution
Solutio  Pyoctanini 1%,sol. cut. 1% - 50 ml
Solutio  Pyoctanini 2%,sol. cut. 2% - 50 ml
Solutio  Rivanoli Kupro,"sol. cut. 0,1 % - 100  ml; 1 000 ml"
Solutio  Rivanoli SZ,0.1% cutaneous solution
Solutio Rivanoli-Flo,0.1% sol. cut.
Solution  Iodi Spirituosa Kupro,5% cutaneous solution
Solvolan,30 mg tablets
Solvolan,15 mg/5 ml syrup
Somatostatin  - Eumedica,3 mg powder and solvent  for solution for infusion
Somatostatin  AvantX,3 mg powder and solvent  for solution for injection
Somatostatin  Eumedica,powd. and solv. for sol.  inf. 0.25 mg - 1 ml x 1
Somatostatin Lyomark,3 mg powd. Inf
Somatostatin PH&T,3 mg powder and solvent  for solution for injection
Somavastatin  Avantx,powder 3 mg solvent  sulu. Inj.
Somazina,1000 mg oral solution in  sachet
Somazina,1000 mg/ 4ml solution  for injection
Somazina,500 mg/ 4ml solution for  injection
Somazina,100 mg/ml oral solution
Somefar,40 mg gastro - resistant  tablets
Somefar,20 mg gastro - resistant  tablets
Soolantra,10 mg/g cream
Sophaflu,500 mg/ 25 mg/ 200 mg  granules for oral solutions
Sophamet,500 mg film - coated  tablets
Sophamet,850 mg film - coated  tablets
Sophamet,1000 mg film - coated  tablets
Sophanax,"0,5 mg tablets"
Sophazolon,40 mg powder and solvent  for solution for injection
Sophtensif,"1,5 mg prolonged -  release tablets"
Sophtensif,"2,5 mg film - coated  tablets"
Sopral,20 mg gastro - resistant  hard capsules
Sopral,40 mg powder for  solution for infusion
Sorafenib  Alvogen,200 mg film - coated  tablets
Sorafenib  G.L.,200 mg film - coated  tablets
Sorafenib  Mylan,200 mg film - coated  tablets
Sorafenib  Pharmascience,200 mg film-coated  tablets
Sorafenib Sandoz,200 mg film - coated tablets
Sorafenib  Teva,200 mg film - coated tablets
Sorafenib  Zentiva,200 mg film - coated  tablets
Sorbifer  Durules,320 mg prolonged -  release tablets
Sorbisterit,15 g powder for  oral/rectal suspension in sachet
Sortis,10 mg film - coated  tablets
Sortis,20 mg film - coated tablets
Sortis,40 mg film - coated tablets
Sortis,80 mg film - coated tablets
Sortis,5 mg chewable tablets
Sortis,40 mg chewable tablets
Sortis,10 mg chewable tablets
Sortis,20 mg chewable tablets
Sotagamma,160 mg tablets
Sotagamma,80  mg tablets
Sotagamma  160,tabl. 160 mg x 20; x 50;  x 100
Sotagamma  80,tabl. 80 mg x 20; x 50;  x 100
Sotahexal,160 mg tablets
Sotahexal,80 mg tablets
Sotanorm,80 mg tablets
Sotapiryn,300 mg/250 mg/2 mg  effervescent tablets
Spascupreel,tabl. x 50
Spasmalgon,"500 mg/ml + 2 mg/ml +  0,02 mg/ml solution for injection"
Spasmalgon,tablets
Spasmo  - Lyt,20 mg coated tablets
Spasmobloc,"500 mg/5 mg/0,1 mg  tablets"
Spasmobloc  D,"500 mg/ml + 5 mg/ml oral  drops, solution"
Spasmo-LYT,20 mg coated tablets
Spasmomen,40 mg film - coated  tablets
SPASMOPHARM,"500 mg/ml + 2 mg/ml +  0,02 mg/ml solution for injection"
Speridan,"0,5 mg film - coated  tablets"
Speridan,6 mg film - coated  tablets
Speridan,1 mg film - coated  tablets
Speridan,2 mg film - coated  tablets
Speridan,3 mg film - coated  tablets
Speridan,4 mg film - coated  tablets
Spersadex  Comp.,"5 mg/ml/1 mg/ml eye  drops, solution"
Spersallerg,"0,5 mg/0,4 mg/ml eye  drops, solution"
Spiolto  Respimat,"2,5 microgram/2,5  microgram inhalation solution"
Spirirtus  Salicylicus Galen-Pharma,sol. cut 1 % - 100 ml
Spirirtus  Salicylicus Galen-Pharma,sol. cut 2 % - 100 ml
Spiritus  Aethylicus Chemax Pharma,90 % v/v cutaneous  solution
Spiritus  Aethylicus Chemax Pharma,95 % v/v cutaneous  solution
Spiritus Aethylicus Chemax  Pharma,70 % v/v cutaneous  solution
Spiritus  Aethylicus DVN,sol. cut. 90 % - 100 ml;  1 000 ml
Spiritus  Aethylicus DVN,sol. cut. 70 % - 100 ml;  1 000 ml
Spiritus  Aethylicus DVN,sol. cut. 95 % - 100 ml;  1 000 ml
Spiritus  aethylicus FLO,70% sol. cutaneous
Spiritus  aethylicus FLO,90% sol. Cut.
Spiritus  aethylicus FLO,95% sol. Cut.
Spiritus  Aethylicus Galen - Pharma,90% v/v cutaneous  solution
Spiritus  Aethylicus Galen - Pharma,70% v/v cutaneous  solution
Spiritus Aethylicus Galen -  Pharma,95% v/v cutaneous  solution
Spiritus  Aethylicus Kupro,70% v/v cutaneous  solution 100 ml; 1000ml
Spiritus  Aethylicus Kupro,90% v/v cutaneous  solution 100 ml; 1000ml
Spiritus  Aethylicus Kupro,95% v/v cutaneous  solution 100 ml; 1000ml
Spiritus  Aethylicus SZ,sol. cut. 95 % - 100 ml;  1 000 ml
Spiritus  Aethylicus SZ,sol. cut. 90% - 100 ml;  1 000 ml
Spiritus  Aethylicus SZ,sol. cut. 70% - 100 ml;  1 000 ml
Spiritus  Aethylicus TONI - M,70 per cent vol./vol.  cutaneous solution
Spiritus  Aethylicus TONI - M,95 per cent vol./vol.  cutaneous solution
Spiritus Aethylicus TONI - M,90 per cent vol./vol.  cutaneous solution
Spiritus  Aethylicus VT,70 % v/v cutaneous  solution
Spiritus Aethylicus VT,90 % v/v cutaneous  solution
Spiritus Aethylicus VT,95 % v/v cutaneous  solution
Spiritus  Campharatus Galen-Pharma,10% cutaneous solution
Spiritus  Camphorae Chemax Pharma,10 g/100 g cutaneous  solution
Spiritus  Camphoratus Kupro,sol. cut. 10 % - 100 ml
Spiritus Camphoratus VT,10 % w/w cutaneous  solution
Spiritus  Lavandulae 1% Тони -М,sol. cut. 1 % - 100 ml;  1 000 ml
Spiritus  Lavandulae Chemax Pharma,"sol. cut - 100 ml; 0,8  kg"
Spiritus  Lavandulae Chemax Pharma,1 g/100 ml cutaneous  solution
Spiritus  Lavandulae Galen - Pharma,sol. cut 1 % - 100 ml; 1  000 ml
Spiritus  Lavandulae Kupro,1 % cutaneous solution
Spiritus Lavandule VT,1 % cutaneous solution
Spiritus  Mentholi Chemax Pharma,1% cutaneous solution
Spiritus  Mentholi Galen - Pharma,sol. cut 1 % - 100 ml
Spiritus  Mentholi Kupro,1% cutaneous solutio
Spiritus  Mentholi Toni - M,sol. cut. 1% - 50 ml;  100 ml
Spiritus Mentholi VT,1 % cutaneous solution
Spiritus Salicilicus VT,1 % cutaneous solution
Spiritus  Salicylicus - FLO,1% solution cutaneous
Spiritus Salicylicus - Flo,"2 % cutaneous solution,  100 ml"
Spiritus  salicylicus Chemax Pharma,1 % cutaneous solution
Spiritus  salicylicus Chemax Pharma,2 % cutaneous solution
Spiritus  Salicylicus Kupro,1 % cutaneous solution
Spiritus  Salicylicus Kupro,2 % cutaneous solution
Spiritus  Salicylicus Toni - M,sol. cut. 1 % - 50 ml;  100 ml
Spiritus  Salicylicus VT,sol. cut. 2% - 100 ml
Spiritus  Salicylicus VT,sol. cut. 1% - 100 ml
Spiriva,"18 micrograms inhalation  powder, hard capsule"
Spiriva  Respimat,"2,5 microgram,  inhalation solution"
Spiriyus Aethylicus SZ,70 % v./v.
Spirokast,4 mg chewable tablets
Spirokast,5 mg chewable tablets
Spirokast,10 mg film - coated tablets
Spironolacton  - Tchaikapharma,100 mg film - coated  tablets
Spironolacton  - Tchaikapharma,25 mg film - coated  tablets
Spironolacton  - Tchaikapharma,50 mg film - coated  tablets
Spironolacton  Actavis,25 mg coated tablets
Spironolactone  Accord,25 mg film - coated tablets
Spironolactone  Accord,50 mg film - coated tablets
Spironolactone  Accord,100 mg film - coated tablets
Sprintafen,25 mg film - coated  tablets
Sprintafen,25 mg granules
Spylacton,100 mg film - coated  tablets
Spylacton,50 mg film - coated  tablets
Spylacton,25 mg film - coated  tablets
Srivasso,"18 microgram inhalation  powder, hard capsule"
Staloral,10 ml sublingual spray
Stamaril,"powd. inj. vial 1 dose +  solv. pre-filled syr. 0,5 ml - with attached needle x 1; without attached  needle x 1; with 1 or 2 separate needle x 1"
Stamaril,powder and solvent for  suspension for injection
Standacillin,"500 mg capsules, hard"
Standacillin,250 mg/5 ml granules for  oral suspension
Starcrest,10 mg film - coated  tablets
Starcrest,15 mg film - coated  tablets
Starcrest,20 mg film - coated  tablets
Starcrest,40 mg film - coated  tablets
Starcrest,5 mg film - coated  tablets
Steovess,70 mg effervescent  tablets
Steozol,4 mg/5 ml concentrate  for solution for infusion
Sterofundin ISO,solution for infusion
STILNOX,10 mg  film-coated tablets
Stilnox,10 mg film - coated  tablets
Stimuloton,50 mg film - coated  tablets
Stimuloton,100 mg film - coated  tablets
Stodal,syrup
Stodal,pillules
Stodal Sugar Free,syrup
Stoperan,"2 mg capsules, hard"
Stopex,15 mg tablets
Stopex,30 mg tablets
Stopex  Junior,15  mg tablets
Stopex  Junior,30  mg tablets
Stopress,4 mg tablets
Stopress,8 mg tablets
Strepsils  Cool,"1,2 mg/0,6 mg lozenges"
Strepsils  Extra Blackcurrant,"loz. 2,4 mg x 2; x 4; x  6; x 8; x 12; x 16; x 24"
Strepsils  for Children,"1,2 mg/0,6 mg lozenges"
Strepsils  Honey and Lemon,"1,2 mg/0,6 mg lozenges"
Strepsils  Intensive,"8,75 mg lozenges"
Strepsils  Intensive Honey and Lemon,"8,75 mg/dose oromucosal  spray, solution"
Strepsils  Intensive Orange Sugar Free,"8,75 mg lozenges"
Strepsils  Intensive Spray,"8,75 mg/dose oromucosal  spray, solution"
Strepsils  Menthol and Eucalyptus,"1,2 mg/0,6 mg/8 mg  lozenges"
Strepsils Orange with Vitamin C,"1,2 mg/0,6 mg/100 mg  lozenges"
Strepsils  Plus,"1,2 mg/0,6 mg/10 mg  lozenges"
Strepsils  Warm,"1,2 mg/0,6 mg lozenges"
Streptase,powd. inf. 1 500 000 IU  - 6 ml
Streptomycin  Floella,1 g powder for solution  for solution injection
STREPTOMYCIN  TZF,1 g powder for solution  for injection
Stresam,"50 mg capsules, hard"
Striverdi  Respimat,"2,5 micrograms  inhalation solution"
Structolipid  20%,emul. inf. 20% - 250 ml  x 10; 500 ml x 12
Structum,"500 mg capsules, hard"
Substitol,120 mg prolonged -  release capsules
Substitol,200 mg prolonged -  release capsules
Succiprol,"47,5 mg prolonged -  release tablets"
Succiprol,95 mg prolonged -  release tablets
Sudafed  Broncho Honey & Lemon,20 mg/ml syrup
Sudafed  Broncho Menthol,20 mg/ml oral solution
Sudafed  Broncho methanol,20 mg/ ml oral solution
Sudroc,tabl. film. 75 mg x 7; x  14; x 28; x 30; x 50; x 56; x 60; x 84; x 90; x 100
Sugammadex  Medichem,100 mg/ml solution for  injection
Sugammadex  Pharmazac,100 mg/ml solution for  injection
Sulcef,1g/ 1g powder for  solution for injection/infusion
Sulfasalazin  EN,500 mg gastro -  resistant tablets
Sulfathiazol  Galen - Pharma,powd. - 5 g
Sulperazon,1 g/1 g powder for  solution for injection
Sumamed,500 mg powder for  solution for infusion
Sumamed,500 mg film - coated tablets
Sumamed,250 mg hard capsules
Sumamed,125 mg film - coated  tablets
Sumamed  Forte Syrup,200 mg/5 ml powder for  oral suspension
Sumamed  Syrup,100 mg/5 ml powder for  oral suspension
Sumetrolim,400 mg/80 mg tablets
Sumetrolim,25 mg/ml + 5 mg/ml syrup
Sunitinib  Alvogen,"12,5 mg hard capsules"
Sunitinib  Alvogen,25 mg hard capsules
Sunitinib  Alvogen,"37,5 mg hard capsules"
Sunitinib  Alvogen,50 mg hard capsules
Sunitinib  Mylan,"12,5 mg hard capsules"
Sunitinib  Mylan,25 mg hard capsules
Sunitinib  Mylan,50 mg hard capsules
Sunitinib  Sandoz,"12,5 mg hard capsules"
Sunitinib  Sandoz,25 mg hard capsules
Sunitinib  Sandoz,50 mg hard capsules
Sunitinib  Teva,"12,5 mg hard capsules"
Sunitinib  Teva,25 mg hard capsules
Sunitinib  Teva,50 mg hard capsules
Supofen,40 mg/ml oral suspension
Supracard,10 mg tablets
Supracard,5 mg tablets
Suprefact Depot 3 Months,"9,45 mg implant"
Suprephen,500 mg film - coated  tablets
Surmera,40 mg gastro - resistant  tablets
Surval,10 mg film - coated  tablets
Surval,15 mg film - coated  tablets
Surval,20 mg film - coated  tablets
Surval,40 mg film - coated  tablets
Surval,5 mg film - coated  tablets
Survanta,25 mg / ml  endotracheopumonary inst. susp.
Suvartar,320 mg film - coated  tablets
Suvartar,160 mg film - coated  tablets
Suvartar  H,"160 mg/12,5 mg film - coated  tablets"
Suvartar  H,160 mg/25 mg film - coated  tablets
Suvartar H,"320 mg/12,5 mg film -  coated tablets"
Suvartar H,320 mg/25 mg film -  coated tablets
Suvatrar,160 mg film - coated  tablets
Suzastor,5 mg film - coated  tablets
Suzastor,10 mg film - coated  tablets
Suzastor,20 mg film - coated  tablets
SVLIPON,600 mg/24 ml solution  for injection
Syafen,5% gel
Syafen,100 mg/5 ml oral  suspension
Sylgestrel 20,75 micrograms/20  micrograms coated tablets
Sylgestrel 30,75 micrograms/30  micrograms coated tablets
Symbicort,"160 micrograms/4,5  micrograms/ actuation pressurised inhalation, suspension"
Symbicort,"80 micrograms/2,25  micrograms/ actuation pressurised inhalation, suspension"
Symbicort  Turbuhaler,"80 micrograms/4,5  micrograms/inhalation, inhalation powder"
Symbicort  Turbuhaler,"320 micrograms/9  micrograms/inhalation, inhalation powder"
Symbicort Turbuhaler,"160 micrograms/4,5  micrograms/inhalation, inhalation powder"
Sympathyl,"20 mg/75 mg/124,35 mg  film - coated tablets"
Synarel,spray nas. 2 mg/ml - 4  ml; 8 ml
Syntostigmin,"sol. inj. 0,5 mg/ml - 1  ml x 10"
Syresp,2 mg/ml syrup
Tabex,"1,5 mg film - coated  tablets"
Tachipirin,1000 mg tablets
Tachyben,100 mg solution for  injection
Tachyben,25 mg solution for  injection
Tachyben,50 mg solution for  injection
Tacni,"0,5 mg capsules, hard"
Tacni,"1 mg capsules, hard"
Tacni,"5 mg capsules, hard"
Tacrolimus  Accord,"0,5 mg capsules, hard"
Tacrolimus Accord,"1 mg capsules, hard"
Tacrolimus Pergamus,"0,5 mg capsules, hard"
Tacrolimus Pergamus,"1 mg capsules, hard"
Tacrolimus Pergamus,"5 mg capsules, hard"
Tadalacon,10 mg film - coated  tablets
Tadalacon,20 mg film - coated  tablets
Tadalafil  Accord,"2,5 mg film - coated  tablets"
Tadalafil  Accord,10 mg film - coated  tablets
Tadalafil  Accord,20 mg film - coated  tablets
Tadalafil  Accord,5 mg film - coated  tablets
Tadalafil  Actavis,"2,5 mg film - coated  tablets"
Tadalafil  Actavis,5 mg film - coated  tablets
Tadalafil  Actavis,10 mg film - coated  tablets
Tadalafil  Actavis,20 mg film -coated tablets
Tadalafil  KV,10 mg film - coated  tablets
Tadalafil  KV,"2,5 mg film-coated  tablets"
Tadalafil  KV,5 mg film - coated  tablets
Tadalafil  KV,20 mg film - coated tablets
Tadalafil  SPM,10 mg film - coated  tablets
Tadalafil  SPM,20 mg film - coated  tablets
Tadalafil  SPM,5 mg film - coated  tablets
Tadalafil  STADA,5 mg film - coated  tablets
Tadalafil  STADA,10 mg film - coated  tablets
Tadalafil  STADA,20 mg film - coated  tablets
Tadenan,caps. 50 mg x 10; x 30
Tadilecto,"2,5 mg film - coated  tablets"
Tadilecto,20 mg film - coated  tablets
Tadilecto,5 mg film - coated  tablets
Tadilecto,10 mg film - coated  tablets
Taflotan,"5 micrograms/ml eye  drops, solution in single - dose container"
Taflotan,"15 micrograms/ml eye  drops, solution in single-dose container"
Taflotan,"15 micrograms/ml eye  drops, solution"
Takipril,20 mg/ml solution for  injection
Talcid,1000 mg oral suspension
Talcid,500 mg chewable tablets
Talert,10 mg film - coated  tablets
Talert,1 mg/ml syrup
Talert,10 mg/10 ml syrup
Talliton,"12,5 mg tablets"
Talliton,25 mg tablets
Talliton,"6,25 mg tablets"
Talopam,200 mg film - coated  tablets
Talopam,25 mg film - coated  tablets
Talopam,50 mg film - coated  tablets
Talopam,100 mg film - coated  tablets
Tamaliz,"0,4 mg modified -  release capsules, hard"
Tamaliz DuoD,"0,5 mg/0,4 mg capsules,  hard"
Tamayra,5 mg/5 mg hard capsules
Tamayra,10 mg/5 mg hard capsules
Tammex  Akut,2 mg hard capsules
Tamoprost  Combi,"0,5 mg/0,4 mg capsules, hard"
"Tamoxifen ""Ebewe""",20 mg tablets
"Tamoxifen ""Ebewe""",10 mg tablets
Tamoxifen  Sopharma,10 mg tablets
Tamprost  DUO,"0,5 mg/0,4 mg capsules,  hard"
Tamprost  Plus,"0,5 mg/0,4 mg capsules, hard"
Tamsol,"0,4 mg modified -  release capsules"
Tamsterid,"0,5 mg/0,4 mg capsules, hard"
Tamsucon,"0,4 mg modified - release  capsules, hard"
Tamsudart,"0,5 mg/0,4 mg capsules,  hard"
Tamsudil,"0,4 mg modified -  release capsules"
Tanakan,40 mg film - coated  tablets
Tanakan,40 mg/ml oral solution
Tanielle  20,75 micrograms/20 micrograms  tablets
Tanielle  30,75 micrograms/30 micrograms  tablets
Tansidor,10 mg film - coated  tablets
Tansidor,20 mg film - coated  tablets
Tansidor,40 mg film - coated  tablets
Tansidor  Duo,40 mg/10mg film - coated  tablets
Tansidor  Duo,20 mg/5 mg film - coated  tablets
Tansidor Duo,40 mg/5 mg film - coated  tablets
Tansidor  H,"20 mg/12,5 mg film - coated  tablets"
Tansidor H,"40 mg/12,5 mg film - coated  tablets"
Tantum,5% cream
Tantum,5% gel
Tantum flu lemon - honey taste,600 mg/10 mg powder for  oral solution in sachet
Tantum flu lemon taste,600 mg/10 mg powder for  oral solution in sachet
Tantum  flu orange taste,600 mg/10 mg powder for  oral solution in sachet
Tantum  Verde,"0,3 % oromucosal spray,  solution"
Tantum  Verde,"0,15% mouth wash"
Tantum  Verde,"0,15% oromuconasal  spray, solution"
Tantum Verde,with eucalyptus flavor 3  mg lozenges
Tantum Verde,with lemon flavor 3 mg  lozenges
Tantum Verde,with mint flavor 3 mg  lozenges
Tantum Verde,with orange - honey  flavor 3 mg lozenges
Tantum Verde Forte,"0,3 % oromucosal spray"
Tantum  Verde with Eucalyptus Flavor,3 mg lozenges
Tantum  Verde with Lemon Flavor,3 mg lozenges
Tantum Verde with Mint Flavor,3 mg lozenges
Tantum  Verde with Orange-Honey Flavor,3 mg lozenges
Tanydon,20 mg film - coated  tablets
Tanydon,40 mg film-coated  tablets
Tanydon,80 mg film-coated  tablets
Tanydon  HCT,"40 mg/12,5 mg tablets"
Tanydon  HCT,"80 mg/12,5 mg tablets"
Tanydon  HCT,80 mg/25 mg tablets
Tanyz,0.4 mgprol-rel. tablets
Tanyz,"0,4 mg modified -  release capsules, hard"
Tanyz  Eras,"0,4 mg prolonged -  release tablets"
Tanzidor,10 mg film - coated  tablets
Tanzidor,20 mg film - coated  tablets
Tanzidor,40 mg film - coated  tablets
Taptiqom,"15 micrograms/ml + 5  mg/ml eye drops, solution"
Tardyferon,tabl. prolong 80 mg x 30
Targin,60 mg/30 mg prolonged -  release tablets
Targin,80 mg/40 mg prolonged -  release tablets
Targin,"15 mg/7,5 mg prolonged -  release tablets"
Targin,"2,5 mg/1,25 mg prolonged  - release tablets"
Targin,30 mg/15 mg prolonged -  release tablets
Targin,"5 mg/2,5 mg  prolonged-release tablets"
Targin,10 mg/5 mg  prolonged-release tablets
Targin,20 mg/10 mg  prolonged-release tablets
Targin,40 mg/20 mg  prolonged-release tablets
Targocid,400 mg powder and  solvent for solution for injection/infusion or oral solution
Tarka,180 mg/2 mg modified -  release tablets
Tarka,240 mg/2 mg modified -  release tablets
Tarka,240 mg/4 mg modified -  release tablets
Tartephedreel,"oral drops, solution"
Tavanic,250 mg film - coated  tablets
Tavanic,5 mg/ml solution for infusion
Tavanic,500 mg film - coated tablets
Tavipec,"150 mg gastro -  resistant capsules, soft"
Tavipec  FORTE,"300 mg gastro -  resistant capsules, soft"
Taxegis,"20 mg/0,5 ml concentrate  and solvent for solution for infusion"
Taxegis,80 mg/2 ml concentrate  and solvent for solution for infusion
Taxier,50 mg film - coated  tablets
Taxier,100 mg film - coated  tablets
Tazocin,"4g/0,5g powder for  solution for infusion"
Tazocin,"4g/0,5g powder for  solution for infusion"
Tears  naturale II,"1,0 mg/ 3,0 mg/ ml eye  drops, solution"
Tebokan,80 mg film - coated  tablets
Tebokan  Forte,120 mg film - coated tablets
Tebokan  Max,240 mg film - coated tablets
Techescan  Sestamibi,1 mg kit for  radiopharceutical preparation
Tecta,40 mg gastro - resistant  tablets
Teenia,"3 mg/0,02 mg film -  coated tablets"
Teenia  28,"3 mg/0,02 mg film -  coated tablets"
Tegretol,200 mg tablets
Tektrotyd,20 micrograms kit for  radiopharmaceutical preparation
Teldipin,40 mg/10 mg tablets
Teldipin,40 mg/5 mg tablets
Teldipin,80 mg/10 mg tablets
Teldipin,80 mg/5 mg tablets
Teldipin,80 mg/5 mg tablets
Telfast,180 mg film - coated  tablets
Telfort,80 mg/10 mg tablets
Telfort,80 mg/5 mg tablets
Telmark,20 mg film - coated  tablets
Telmark,40 mg film - coated  tablets
Telmark,80 mg film - coated  tablets
Telmark  Plus,"80 mg/12,5 mg tablets"
Telmark Plus,80 mg/25 mg tablets
Telmimed  Plus,"40 mg/12,5 mg tablets"
Telmimed  Plus,"80 mg/12,5 mg tablets"
Telmimed  Plus,80 mg/25 mg tablets
Telmisartan  EGIS,20 mg film - coated  tablets
Telmisartan  EGIS,40 mg film - coated  tablets
Telmisartan  EGIS,80 mg film - coated  tablets
Telmisartan  Hydrochlorothiazide Stada,"40 mg/12,5 mg tablets"
Telmisartan  Hydrochlorothiazide Stada,"80 mg/12,5 mg tablets"
Telmisartan  Hydrochlorothiazide Stada,80 mg/25 mg tablets
Telmisartan  Jubilant,20 mg tablets
Telmisartan  Jubilant,40 mg tablets
Telmisartan  Jubilant,80 mg tablets
Telmisartan  Renantos,20 mg tablets
Telmisartan  Stada,20 mg film - coated  tablets
Telmisartan  Stada,40 mg film - coated  tablets
Telmisartan  Stada,80 mg film - coated  tablets
Telmisartan  Zentiva,20 mg tablets
Telmisartan/  Hydrochlorothiazide Stada,80 mg/25 mg tablets
Telmisartan/  Hydrochlorothiazide Stada,"80 mg/12,5 mg tablets"
Telmisartan/  Hydrochlorothiazide Stada,"40 mg/12,5 mg tablets"
Telmisartan/  Hydrochlorothiazide Teva,"80 mg/12,5 mg tablets"
Telmisartan/Hydrochlorotbiazide  Sandoz,"40 mg/12,5 mg coated  tablets"
Telmisartan/Hydrochlorothiazide  Billev,80 mg/25 mg tablets
Telmisartan/Hydrochlorothiazide  Billev,"40 mg/12,5 mg tablets"
Telmisartan/Hydrochlorothiazide  Billev,"80 mg/12,5 mg tablets"
Telmisartan/Hydrochlorothiazide  Chemo Iberica,"80 mg/12,5 mg tablets"
Telmisartan/Hydrochlorothiazide  Chemo Iberica,80 mg/25 mg tablets
Telmisartan/Hydrochlorothiazide  Egis,"40 mg/12,5 mg tablets"
Telmisartan/Hydrochlorothiazide  Egis,80 mg/25 mg tablets
Telmisartan/Hydrochlorothiazide  Egis,"80 mg/12,5 mg tablets"
Telmisartan/Hydrochlorothiazide  Sandoz,"40mg/12,5 mg coated  tablets"
Telmisartan/Hydrochlorothiazide  Sandoz,"80mg/12,5 mg coated  tablets"
Telmisartan/Hydrochlorothiazide  Teva,"80 mg/12,5 mg tablets"
Telmisartan/Hydrochlorothiazide  Teva,80 mg/25 mg tablets
Telmisartan/Hydrochlorothizide  Egis,"40 mg/12,5 mg tablets"
Telmisartan/Hydrochlorothizide  Egis,80 mg/25 mg tablets
Telmisartan/Hydrochlorothizide  Egis,"80 mg/12,5 mg tablets"
Telmitan,20 mg tablets
Telmitan,40 mg tablets
Telmitan,80 mg tablets
Telmitan Plus,"40 mg/12,5 mg tablets"
Telmitan Plus,"80 mg/12,5 mg tablets"
Telmitan Plus,80 mg/25 mg tablets
Telmitex,"40 mg/12,5 mg tablets"
Telmitex,"80 mg/12,5 mg tablets"
Telmitex,80 mg/25 mg tablets
Telmotens,80 mg film - coated  tablets
Telmotens,40 mg film - coated  tablets
Telmotens Plus,80 mg/25 mg tablets
Telmotens Plus,"80 mg/12,5 mg tablets"
Telsart,80 mg tablets
Telsol  Plus,80 mg/25 mg tablets
Telsol  Plus,"81 mg/12,5 mg tablets"
Temelor,4 mg/ml solution for  injection
Temozolomide  Actavis,"100 mg capsules, hard"
Temozolomide  Glenmark,140 mg hard capsules
Temozolomide  Glenmark,180 mg hard capsules
Temozolomide  Glenmark,250 mg hard capsules
Temozolomide  Glenmark,5 mg hard capsules
Temozolomide  Glenmark,100 mg hard capsules
Temozolomide  Glenmark,20 mg hard capsules
Tempalgin,500 mg/20 mg film -  coated tablets
Tempimet,tabl. Film 500 mg
Tenataxime,1 g powder for solution  for injection
Tenataxime,500 mg powder for  solution for injection
Tenataxime,2 g powder for oral  injection
Tenaxone,1000 mg powder for  solution for injection
Tenaxone,2000 mg powder for  solution for injection
Tenaxonе,500 mg powder for  solution for injection
Tenaxum,l mg tablets
Tenloris,50 mg/5 mg film-coated  tablets
Tenloris,50 mg/10 mg film-coated  tablets
Tenloris,100 mg/5 mg film-coated  tablets
Tenloris,100 mg/10 mg film-coated  tablets
Tenofovir  Disoproxil Accordpharma,245 mg film - coated tablets
Tenofovir  Polpharma,245 mg film - coated tablets
Tenofovir Sandoz,245 mg film - coated  tablets
Tenofovir  Zentiva,245 mg film - coated tablet
Tenormin,50 mg film - coated  tablets
Tenox,10  mg tablets
Tenox,5  mg tablets
Tensar,10 mg film-coated  tablets
